Escenario,ID_SIGA,Q5(m3.d-1),CE(uS.cm-1),ODs(kg.m-3),CDBO5(kg.m-3),EC(ufc.m-3),SST(kg.m-3),NO3(kg.m-3),NH4(kg.m-3),NO(kg.m-3),PO(kg.m-3),PI(kg.m-3),PT(kg.m-3),Fecha
80,29,10.212940277777777,26.876264583333334,7.507312500000001,0.0,3658.1796680555553,120.76753472222224,0.12109027777777778,0.22211805555555555,0.0885486111111111,0.003777777777777778,0.0679513888888889,0.07172222222222221,2013-01-01
80,29,9.042943055555556,26.97305763888889,7.5215625,0.0,4261.247564583334,101.5470625,0.14589583333333334,0.25755555555555554,0.09610416666666667,0.004270833333333333,0.07321527777777777,0.07746527777777777,2014-01-01
80,29,6.228169444444444,26.715734027777778,7.483819444444445,0.0,3265.331036111111,56.40370138888889,0.18972222222222224,0.29218055555555555,0.10272222222222221,0.004958333333333333,0.08540972222222222,0.09030555555555556,2015-01-01
80,29,10.569883333333333,26.339325,7.428847222222221,0.0,5285.7307201388885,142.64125,0.1650138888888889,0.2593611111111111,0.08575694444444444,0.0038958333333333336,0.07213888888888889,0.07606944444444445,2016-01-01
80,29,11.01282013888889,26.71753888888889,7.484701388888889,0.0,4826.472540972222,134.76783333333333,0.11740972222222222,0.2121875,0.0894375,0.003840277777777778,0.06630555555555556,0.07016666666666665,2017-01-01
80,29,9.616123611111112,27.195221527777775,7.553284722222222,0.0,3556.1508763888887,108.0128125,0.13008333333333333,0.23923611111111112,0.09159027777777778,0.004034722222222222,0.07077777777777777,0.07488194444444445,2018-01-01
80,29,5.798419444444445,27.07874722222222,7.536722222222222,0.0,771.1153756944445,68.37124999999999,0.20789583333333334,0.2935902777777778,0.09422916666666666,0.00482638888888889,0.092125,0.0969375,2019-01-01
80,29,7.743159722222223,27.283327777777778,7.565520833333333,0.0,922.5682402777778,100.06199305555555,0.18378472222222222,0.28265972222222224,0.08722222222222223,0.004388888888888889,0.08786111111111111,0.09225,2020-01-01
80,29,10.92436111111111,27.789354166666666,7.637069444444445,0.0,1396.6413131944444,147.1188263888889,0.10739583333333333,0.21353472222222222,0.08679166666666666,0.003534722222222222,0.06596527777777778,0.0695763888888889,2021-01-01
80,30,1.5627819444444444,25.44473125,6.721763888888889,0.0,12155.052296527778,78.38559027777778,0.023493055555555555,0.036645833333333336,0.0183125,0.0027083333333333334,0.03352777777777778,0.036208333333333335,2010-01-01
80,30,1.4640319444444445,26.21841111111111,6.829229166666667,0.0,14035.83541736111,58.059062499999996,0.01595138888888889,0.030083333333333333,0.01654861111111111,0.002402777777777778,0.03102777777777778,0.033368055555555554,2011-01-01
